                 74 --- 73: 00, 74: 05, 75: 00, 6F: 40, 70: 00
                 73 --- 73: 00, 74: 05, 75: 00, 6F: 40, 70: 00
                 6F --- 73: 00, 74: 05, 75: 00, 6F: 80, 70: 00
                 74 --- 73: 00, 74: 04, 75: 00, 6F: 80, 70: 00
                 73 --- 73: 00, 74: 04, 75: 00, 6F: 80, 70: 00
                 6F --- 73: 00, 74: 04, 75: 00, 6F: 00, 70: 00
                 74 --- 73: 00, 74: 03, 75: 00, 6F: 00, 70: 00
                 73 --- 73: 00, 74: 03, 75: 00, 6F: 00, 70: 00
                 6F --- 73: 00, 74: 03, 75: 00, 6F: 00, 70: 00
                 74 --- 73: 00, 74: 02, 75: 00, 6F: 00, 70: 00
                 73 --- 73: 00, 74: 02, 75: 00, 6F: 00, 70: 00
                 6F --- 73: 00, 74: 02, 75: 00, 6F: 00, 70: 00
READ  9D9B <- 64    --- 73: 00, 74: 02, 75: 00, 6F: 00, 70: 00
                 73 --- 73: 64, 74: 02, 75: 00, 6F: 00, 70: 00
                 74 --- 73: 64, 74: 01, 75: 00, 6F: 00, 70: 00
                 73 --- 73: C8, 74: 01, 75: 00, 6F: 00, 70: 00
                 6F --- 73: C8, 74: 01, 75: 00, 6F: 00, 70: 00
                 74 --- 73: C8, 74: 00, 75: 00, 6F: 00, 70: 00
   WRITE 60CE -> 00 --- 73: C8, 74: 00, 75: 00, 6F: 00, 70: 00
                 74 --- 73: C8, 74: 01, 75: 00, 6F: 00, 70: 00
                 73 --- 73: 90, 74: 01, 75: 00, 6F: 00, 70: 00
                 6F --- 73: 90, 74: 01, 75: 00, 6F: 01, 70: 00
                 74 --- 73: 90, 74: 00, 75: 00, 6F: 01, 70: 00
                 74 --- 73: 90, 74: 01, 75: 00, 6F: 01, 70: 00
                 73 --- 73: 20, 74: 01, 75: 00, 6F: 01, 70: 00
                 6F --- 73: 20, 74: 01, 75: 00, 6F: 03, 70: 00
                 74 --- 73: 20, 74: 00, 75: 00, 6F: 03, 70: 00
                 74 --- 73: 20, 74: 03, 75: 00, 6F: 03, 70: 00
                 73 --- 73: 40, 74: 03, 75: 00, 6F: 03, 70: 00
                 6F --- 73: 40, 74: 03, 75: 00, 6F: 06, 70: 00
                 74 --- 73: 40, 74: 02, 75: 00, 6F: 06, 70: 00
                 73 --- 73: 80, 74: 02, 75: 00, 6F: 06, 70: 00
                 6F --- 73: 80, 74: 02, 75: 00, 6F: 0C, 70: 00
                 74 --- 73: 80, 74: 01, 75: 00, 6F: 0C, 70: 00
                 73 --- 73: 00, 74: 01, 75: 00, 6F: 0C, 70: 00
                 6F --- 73: 00, 74: 01, 75: 00, 6F: 19, 70: 00
                 74 --- 73: 00, 74: 00, 75: 00, 6F: 19, 70: 00
                 75 --- 73: 00, 74: 00, 75: 03, 6F: 19, 70: 00
                 74 --- 73: 00, 74: 0A, 75: 03, 6F: 19, 70: 00
                 73 --- 73: 00, 74: 0A, 75: 03, 6F: 19, 70: 00
                 6F --- 73: 00, 74: 0A, 75: 03, 6F: 32, 70: 00
                 70 --- 73: 00, 74: 0A, 75: 03, 6F: 32, 70: 00
                 74 --- 73: 00, 74: 09, 75: 03, 6F: 32, 70: 00
                 73 --- 73: 00, 74: 09, 75: 03, 6F: 32, 70: 00
                 6F --- 73: 00, 74: 09, 75: 03, 6F: 64, 70: 00
                 70 --- 73: 00, 74: 09, 75: 03, 6F: 64, 70: 00
READ  9D9C <- 01    --- 73: 00, 74: 09, 75: 03, 6F: 64, 70: 00
                 73 --- 73: 01, 74: 09, 75: 03, 6F: 64, 70: 00
                 74 --- 73: 01, 74: 08, 75: 03, 6F: 64, 70: 00
                 73 --- 73: 02, 74: 08, 75: 03, 6F: 64, 70: 00
                 6F --- 73: 02, 74: 08, 75: 03, 6F: C8, 70: 00
                 70 --- 73: 02, 74: 08, 75: 03, 6F: C8, 70: 00
                 74 --- 73: 02, 74: 07, 75: 03, 6F: C8, 70: 00
                 73 --- 73: 04, 74: 07, 75: 03, 6F: C8, 70: 00
                 6F --- 73: 04, 74: 07, 75: 03, 6F: 90, 70: 00
                 70 --- 73: 04, 74: 07, 75: 03, 6F: 90, 70: 01
                 74 --- 73: 04, 74: 06, 75: 03, 6F: 90, 70: 01
                 73 --- 73: 08, 74: 06, 75: 03, 6F: 90, 70: 01
                 6F --- 73: 08, 74: 06, 75: 03, 6F: 20, 70: 01
                 70 --- 73: 08, 74: 06, 75: 03, 6F: 20, 70: 03
                 74 --- 73: 08, 74: 05, 75: 03, 6F: 20, 70: 03
                 73 --- 73: 10, 74: 05, 75: 03, 6F: 20, 70: 03
                 6F --- 73: 10, 74: 05, 75: 03, 6F: 40, 70: 03
                 70 --- 73: 10, 74: 05, 75: 03, 6F: 40, 70: 06
                 74 --- 73: 10, 74: 04, 75: 03, 6F: 40, 70: 06
                 73 --- 73: 20, 74: 04, 75: 03, 6F: 40, 70: 06
                 6F --- 73: 20, 74: 04, 75: 03, 6F: 80, 70: 06
                 70 --- 73: 20, 74: 04, 75: 03, 6F: 80, 70: 0C
                 74 --- 73: 20, 74: 03, 75: 03, 6F: 80, 70: 0C
